Episode,A3C_Score,A2C_Score,ACER_Score
735,148.0,19.0,89.0
736,49.0,39.0,166.0
737,44.0,118.0,89.0
738,60.0,79.0,112.0
739,41.0,87.0,246.0
740,87.0,94.0,194.0
741,86.0,62.0,106.0
742,48.0,51.0,157.0
743,71.0,55.0,81.0
744,43.0,37.0,97.0
745,25.0,47.0,119.0
746,46.0,28.0,128.0
747,65.0,62.0,81.0
748,55.0,73.0,211.0
749,31.0,42.0,215.0
750,93.0,38.0,133.0
751,15.0,37.0,144.0
752,53.0,60.0,108.0
753,124.0,63.0,232.0
754,45.0,53.0,149.0
755,30.0,55.0,205.0
756,15.0,111.0,129.0
757,69.0,64.0,268.0
758,14.0,30.0,132.0
759,35.0,85.0,173.0
760,54.0,23.0,118.0
761,39.0,61.0,134.0
762,115.0,43.0,93.0
763,108.0,36.0,118.0
764,92.0,27.0,101.0
765,34.0,67.0,133.0
766,24.0,77.0,83.0
767,25.0,44.0,166.0
768,59.0,64.0,121.0
769,53.0,18.0,164.0
770,69.0,28.0,97.0
771,13.0,101.0,87.0
772,23.0,107.0,89.0
773,48.0,29.0,214.0
774,17.0,67.0,150.0
775,47.0,131.0,211.0
776,24.0,50.0,105.0
777,17.0,30.0,159.0
778,13.0,24.0,174.0
779,29.0,32.0,193.0
780,22.0,75.0,212.0
781,24.0,40.0,121.0
782,36.0,27.0,120.0
783,42.0,25.0,132.0
784,233.0,61.0,202.0
785,31.0,109.0,99.0
786,97.0,32.0,104.0
787,35.0,42.0,83.0
788,57.0,37.0,94.0
789,49.0,33.0,165.0
790,75.0,67.0,123.0
791,134.0,14.0,73.0
792,21.0,48.0,140.0
793,121.0,41.0,136.0
794,91.0,31.0,188.0
795,39.0,25.0,81.0
796,103.0,65.0,119.0
797,22.0,22.0,70.0
798,27.0,63.0,123.0
799,27.0,72.0,189.0
800,34.0,32.0,89.0
801,54.0,45.0,106.0
802,82.0,20.0,123.0
803,121.0,44.0,159.0
804,165.0,31.0,90.0
805,41.0,26.0,149.0
806,48.0,25.0,141.0
807,90.0,23.0,142.0
808,223.0,29.0,145.0
809,80.0,33.0,131.0
810,51.0,17.0,166.0
811,93.0,30.0,82.0
812,34.0,48.0,120.0
813,99.0,77.0,110.0
814,53.0,31.0,112.0
815,128.0,74.0,109.0
816,95.0,28.0,79.0
817,130.0,29.0,107.0
818,38.0,39.0,217.0
819,181.0,27.0,120.0
820,92.0,35.0,126.0
821,52.0,39.0,116.0
822,147.0,31.0,129.0
823,20.0,34.0,119.0
824,220.0,13.0,73.0
825,47.0,63.0,82.0
826,28.0,60.0,94.0
827,18.0,19.0,129.0
828,37.0,27.0,93.0
829,21.0,22.0,102.0
830,28.0,30.0,107.0
831,29.0,36.0,72.0
832,105.0,19.0,90.0
833,28.0,41.0,100.0
834,35.0,25.0,116.0
835,128.0,26.0,110.0
836,81.0,37.0,105.0
837,98.0,17.0,81.0
838,44.0,16.0,83.0
839,58.0,24.0,39.0
840,49.0,42.0,81.0
841,95.0,35.0,79.0
842,61.0,28.0,121.0
843,165.0,21.0,110.0
844,110.0,34.0,112.0
845,49.0,73.0,115.0
846,62.0,20.0,103.0
847,95.0,28.0,134.0
848,108.0,40.0,110.0
849,63.0,59.0,302.0
850,102.0,15.0,98.0
851,18.0,32.0,136.0
852,21.0,32.0,101.0
853,36.0,17.0,176.0
854,51.0,26.0,203.0
855,49.0,26.0,161.0
856,57.0,40.0,93.0
857,26.0,111.0,210.0
858,125.0,78.0,135.0
859,63.0,70.0,137.0
860,30.0,28.0,100.0
861,19.0,66.0,83.0
862,102.0,85.0,129.0
863,148.0,33.0,78.0
864,113.0,30.0,75.0
865,25.0,61.0,115.0
866,94.0,23.0,93.0
867,124.0,33.0,81.0
868,50.0,22.0,104.0
869,20.0,41.0,163.0
870,59.0,49.0,93.0
871,155.0,114.0,87.0
872,43.0,19.0,83.0
873,17.0,26.0,202.0
874,111.0,29.0,102.0
875,22.0,20.0,130.0
876,100.0,35.0,137.0
877,29.0,20.0,221.0
878,22.0,41.0,220.0
879,122.0,13.0,164.0
880,61.0,118.0,145.0
881,28.0,36.0,102.0
882,144.0,30.0,88.0
883,82.0,25.0,86.0
884,54.0,35.0,150.0
885,155.0,14.0,210.0
886,117.0,23.0,138.0
887,42.0,26.0,94.0
888,152.0,29.0,114.0
889,154.0,17.0,71.0
890,144.0,15.0,140.0
891,20.0,16.0,101.0
892,64.0,29.0,181.0
893,38.0,16.0,109.0
894,58.0,15.0,134.0
895,20.0,33.0,193.0
896,30.0,32.0,117.0
897,63.0,35.0,153.0
898,17.0,14.0,97.0
899,133.0,16.0,78.0
900,52.0,14.0,91.0
901,51.0,14.0,119.0
902,99.0,32.0,157.0
903,104.0,13.0,135.0
904,58.0,20.0,138.0
905,64.0,21.0,141.0
906,56.0,30.0,99.0
907,18.0,35.0,91.0
908,37.0,12.0,105.0
909,107.0,16.0,147.0
910,130.0,22.0,97.0
911,111.0,55.0,88.0
912,42.0,28.0,62.0
913,58.0,102.0,83.0
914,60.0,37.0,91.0
915,13.0,23.0,117.0
916,29.0,46.0,93.0
917,173.0,36.0,76.0
918,184.0,42.0,288.0
919,133.0,66.0,154.0
920,28.0,56.0,94.0
921,47.0,88.0,123.0
922,24.0,32.0,206.0
923,98.0,41.0,125.0
924,115.0,68.0,109.0
925,146.0,78.0,120.0
926,147.0,35.0,94.0
927,22.0,102.0,96.0
928,109.0,104.0,237.0
929,63.0,29.0,106.0
930,47.0,25.0,100.0
931,47.0,48.0,133.0
932,60.0,27.0,187.0
933,96.0,15.0,121.0
934,98.0,38.0,196.0
935,166.0,32.0,156.0
936,62.0,17.0,137.0
937,61.0,15.0,128.0
938,22.0,84.0,153.0
939,122.0,37.0,118.0
940,83.0,27.0,122.0
941,107.0,19.0,189.0
942,104.0,53.0,111.0
943,46.0,16.0,83.0
944,34.0,47.0,97.0
945,208.0,30.0,103.0
946,166.0,26.0,84.0
947,41.0,17.0,102.0
948,144.0,22.0,81.0
949,22.0,13.0,106.0
950,47.0,40.0,102.0
951,126.0,24.0,109.0
952,74.0,25.0,126.0
953,118.0,17.0,273.0
954,29.0,16.0,182.0
955,152.0,29.0,102.0
956,24.0,24.0,153.0
957,204.0,26.0,95.0
958,21.0,38.0,146.0
959,178.0,36.0,137.0
960,129.0,21.0,142.0
961,109.0,38.0,127.0
962,29.0,28.0,117.0
963,175.0,18.0,133.0
964,61.0,37.0,88.0
965,88.0,42.0,112.0
966,225.0,83.0,97.0
967,64.0,21.0,143.0
968,31.0,12.0,135.0
969,40.0,35.0,179.0
970,105.0,21.0,96.0
971,119.0,31.0,109.0
972,126.0,20.0,116.0
973,83.0,12.0,102.0
974,68.0,13.0,150.0
975,38.0,19.0,105.0
976,144.0,15.0,108.0
977,115.0,75.0,125.0
978,91.0,28.0,146.0
979,31.0,13.0,139.0
980,106.0,11.0,283.0
981,80.0,40.0,169.0
982,15.0,30.0,135.0
983,98.0,15.0,108.0
984,53.0,46.0,93.0
985,55.0,11.0,175.0
986,51.0,22.0,124.0
987,168.0,23.0,152.0
988,45.0,92.0,125.0
989,34.0,36.0,121.0
990,165.0,30.0,129.0
991,149.0,69.0,117.0
